"ID","Year_Birth","Education","Marital_Status","Income_norm","Kidhome","Teenhome","Dt_Customer","Recency_norm","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Complain","Z_CostContact","Z_Revenue","Response","Age","Seniority_Years","Total_spend_norm","Total_kids","Total_purchase_norm","Accepted_campaign","Is_Parent","Age_group","Income_segment","Income","Recency","Total_Spend","Total_Purchase"
5524,1957,"Graduation","Single",0.35108640853442213,0,0,"2012-09-04",0.5858585858585859,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,69,13,0.6396825396825397,0,0.5681818181818182,1,0,"Senior","Mid_Income",58138,58,1617,25
2174,1954,"Graduation","Single",0.27767992182588835,1,1,"2014-03-08",0.38383838383838387,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,72,12,0.00873015873015873,2,0.13636363636363635,0,1,"Senior","Mid_Income",46344,38,27,6
4141,1965,"Graduation","Together",0.43495552913790636,0,0,"2013-08-21",0.26262626262626265,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,61,12,0.305952380952381,0,0.4772727272727273,0,0,"Senior","Mid_Income",71613,26,776,21
6182,1984,"Graduation","Together",0.1550785164346132,1,0,"2014-02-10",0.26262626262626265,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,42,12,0.01904761904761905,1,0.18181818181818182,0,1,"Adulte","Low_Income",26646,26,53,8
5324,1981,"PhD","Married",0.3520511368233676,1,0,"2014-01-19",0.9494949494949496,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,45,12,0.16547619047619047,1,0.4318181818181818,0,1,"Adulte","Mid_Income",58293,94,422,19
7446,1967,"Master","Together",0.37831664249659236,0,1,"2013-09-09",0.16161616161616163,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,59,12,0.28214285714285714,1,0.5,0,1,"Senior","Mid_Income",62513,16,716,22
965,1971,"Graduation","Divorced",0.33550760268132224,0,1,"2012-11-13",0.3434343434343435,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,55,13,0.23214285714285715,1,0.4772727272727273,0,1,"Adulte","Mid_Income",55635,34,590,21
6177,1985,"PhD","Married",0.19745187250648855,1,0,"2013-05-08",0.32323232323232326,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,41,12,0.06507936507936507,1,0.2272727272727273,0,1,"Adulte","Low_Income",33454,32,169,10
4855,1974,"PhD","Together",0.17813863456714818,1,0,"2013-06-06",0.19191919191919193,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,52,12,0.01626984126984127,1,0.13636363636363635,1,1,"Adulte","Low_Income",30351,19,46,6
5899,1950,"PhD","Together",0.02438584152315037,1,1,"2014-03-13",0.686868686868687,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,76,12,0.01746031746031746,2,0.045454545454545456,1,1,"Senior","Low_Income",5648,68,49,2
1994,1983,"Graduation","Married",0.30903670324335425,1,0,"2013-11-15",0.11111111111111112,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,43,12,0.005555555555555556,1,0.09090909090909091,0,1,"Adulte","Mid_Income",51382,11,19,4
387,1976,"Basic","Married",0.03591278856267933,0,0,"2012-11-13",0.595959595959596,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,50,13,0.022222222222222223,0,0.13636363636363635,0,0,"Adulte","Low_Income",7500,59,61,6
2125,1959,"Graduation","Divorced",0.3815531503046674,0,0,"2013-11-15",0.8282828282828284,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,67,12,0.4353174603174603,0,0.36363636363636365,0,0,"Senior","Mid_Income",63033,82,1102,16
8180,1952,"Master","Divorced",0.3586548575625362,1,1,"2013-11-15",0.5353535353535354,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,74,12,0.12103174603174602,2,0.34090909090909094,0,1,"Senior","Mid_Income",59354,53,310,15
2569,1987,"Graduation","Married",0.09705166586791313,0,0,"2012-10-10",0.38383838383838387,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,39,13,0.01626984126984127,0,0.11363636363636365,0,0,"Adulte","Low_Income",17323,38,46,5
2114,1946,"PhD","Single",0.5045840153858602,0,0,"2012-11-24",0.23232323232323235,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,80,13,0.5198412698412699,0,0.5909090909090909,1,0,"Senior","Mid_Income",82800,23,1315,26
